StudentID,StudentName,Major
62000216,Randall Camacho,Statistics
62000217,Edward Stafford,Gender Studies
62000218,Morgan Williams,Economics
62000219,Kimberly Smith,Physics
62000220,Tracy Lawson,Psychology
62000221,Natalie Ramirez,Economics
62000222,Wayne Miller,Physics
62000223,Kelly Barber,Computer Science
62000224,Valerie Williams,Gender Studies
62000225,Blake Sexton,Chemistry
62000226,Thomas Montoya,Physics
62000227,Donald Ortega,Law
62000228,Robert Todd,Psychology
62000229,Scott Callahan,Physics
62000230,Scott Ferguson,Biology
62000231,Nicole Martin,Law
62000232,Leah Dunn,Statistics
62000233,David Casey,Law
62000234,Tommy Garcia,Biology
62000235,Megan Martinez,Chemistry
62000236,Valerie Moore,Economics
62000237,Angel Schultz,Statistics
62000238,Samuel Miller,Psychology
62000239,Jeremy Taylor,Physics
62000240,Betty Thomas,Physics
62000241,Samantha Harris,Chemistry
62000242,William Powers,Law
62000243,Dawn Brown,Physics
62000244,John Garrett,Law
62000245,Michael Briggs,Physics
62000246,Kenneth Jenkins,Biology
62000247,Richard Douglas,Statistics
62000248,Heather Love,Biology
62000249,Ashley Perez,Chemistry
62000250,Latoya Johns,Biology
62000251,James Alexander,Gender Studies
62000252,Roger Rodriguez,Mathematics
62000253,Samantha Howard,Gender Studies
62000254,Stephanie Reyes,Statistics
62000255,Ronald Kim,Physics
62000256,Christina Hernandez,Economics
62000257,Thomas Bailey,Mathematics
62000258,Troy Luna,Statistics
62000259,Robert Washington,Psychology
62000260,Jerry Lawson,Chemistry
62000261,Justin Allen,Biology
62000262,Sarah Mendoza,Economics
62000263,Paula Trevino,Law
62000264,Jacob Austin,Chemistry
62000265,Brandi Wilson,Mathematics
62000266,Jeffrey Brown,Economics
62000267,Sarah Hoffman,Statistics
62000268,Alexander Smith,Economics
62000269,Thomas Weeks,Physics
62000270,Michael Andersen,Psychology
62000271,Shari Smith,Statistics
62000272,Michele Garrett,Computer Science
62000273,Jennifer Andrews,Physics
62000274,Jeffery Evans,Biology
62000275,Charles Mendoza,Law
62000276,Tammy Fritz,Economics
62000277,Jacob Chaney,Computer Science
62000278,Brian Proctor,Law
62000279,Paul Graham,Statistics
62000280,Victoria Gonzales,Chemistry
62000281,Joel Johnson,Gender Studies
62000282,Katie Rush,Gender Studies
62000283,Dalton Kramer,Gender Studies
62000284,Marcus Owen,Computer Science
62000285,Kathleen Olson,Biology
62000286,Robert Travis,Physics
62000287,John Diaz,Gender Studies
62000288,Kim Jenkins,Biology
62000289,Jimmy Chen,Mathematics
62000290,Thomas Lee,Statistics
62000291,Andre Palmer,Computer Science
62000292,Mary Evans,Economics
62000293,Dominique Dennis,Statistics
62000294,Rachel Allen,Statistics
62000295,Janet Osborne,Computer Science
62000296,Tracey Rodriguez,Law
62000297,Heather Robbins,Physics
62000298,Chase Strong,Statistics
62000299,Amy Robertson,Statistics
62000300,Brett Peterson,Computer Science
62000301,Daniel Jones,Physics
62000302,Timothy Baker,Gender Studies
62000303,Scott Acevedo,Mathematics
62000304,Seth Harris,Biology
62000305,Vincent Hamilton,Physics
62000306,Adam Smith,Psychology
62000307,John Anderson,Statistics
62000308,Valerie Mcdowell,Psychology
62000309,Teresa Taylor,Statistics
62000310,Daniel Wright,Chemistry
62000311,Beth Baker,Mathematics
62000312,Ryan Williams,Biology
62000313,Maureen Harris,Mathematics
62000314,Harry Herrera,Law
62000315,Alexander Henderson,Psychology
62000316,Carol Mcconnell,Psychology
62000317,Patrick Baxter,Biology
62000318,Michelle Khan,Gender Studies
62000319,Sean Smith,Mathematics
62000320,Vanessa Alexander,Statistics
62000321,William Watson,Physics
62000322,Amy Vega,Biology
62000323,Angela Silva,Physics
62000324,Kelly Mitchell,Computer Science
62000325,Jason Bowman,Computer Science
62000326,Angelica Alexander,Gender Studies
62000327,Crystal Phillips,Chemistry
62000328,Eric Beltran,Psychology
62000329,Amanda Potter,Physics
62000330,Brian York,Statistics
62000331,Alexandra Nelson,Biology
62000332,Brian Stephenson,Statistics
62000333,William Montoya,Biology
62000334,Joseph Gentry,Physics
62000335,Heidi Gibson,Psychology
62000336,Richard Williams,Chemistry
62000337,Lindsay Cruz,Physics
62000338,Adam Romero,Biology
62000339,Jeff Lane,Physics
62000340,Jonathan Peters,Physics
62000341,John Duncan,Biology
62000342,Leslie Bowman,Law
62000343,Jennifer Jackson,Gender Studies
62000344,Maria Petersen,Gender Studies
62000345,Jason Sims,Mathematics
62000346,Courtney Abbott,Computer Science
62000347,Paul Wyatt,Law
62000348,Nicholas Vaughan,Computer Science
62000349,Vickie Winters,Psychology
62000350,Richard Valencia,Statistics
62000351,Mitchell Allen,Gender Studies
62000352,Samantha Owens,Mathematics
62000353,Megan Lowery,Law
62000354,Jimmy Doyle,Statistics
62000355,Troy Wilson,Biology
62000356,Edward Carey,Gender Studies
62000357,Rachel Smith,Biology
62000358,Andre Garcia,Chemistry
62000359,John Santos,Economics
62000360,David Johnson,Biology
62000361,Devon Brown,Economics
62000362,William Anderson,Statistics
62000363,Peggy Brown,Gender Studies
62000364,Denise Lee,Biology
62000365,Ryan Drake,Law
62000366,Ronald Holland,Mathematics
62000367,Ethan Vaughan,Chemistry
62000368,Jeremy English,Gender Studies
62000369,Steven Wise,Chemistry
62000370,Susan Johnson,Biology
62000371,Jennifer Williams,Computer Science
62000372,Brittany Lutz,Statistics
62000373,Jennifer Flores,Psychology
62000374,Joyce Holder,Chemistry
62000375,Ryan Ramirez,Biology
62000376,Garrett Barnes,Biology
62000377,Daniel Lopez,Biology
62000378,Robert Evans,Psychology
62000379,Samuel Brown,Gender Studies
62000380,Keith Allen,Physics
62000381,Renee White,Psychology
62000382,Jacob Perez,Economics
62000383,Tiffany Steele,Physics
62000384,Brandon Cruz,Law
62000385,Laura Figueroa,Psychology
62000386,Cindy Gray,Computer Science
62000387,Matthew Jones,Law
62000388,James Duncan,Chemistry
62000389,Karen Martinez,Law
62000390,Ethan Rowe,Biology
62000391,Thomas Phillips,Physics
62000392,Jennifer Reynolds,Biology
62000393,Benjamin Davis,Mathematics
62000394,Kenneth Clark,Psychology
62000395,Yvette Henderson,Economics
62000396,Rhonda Hill,Gender Studies
62000397,Cassandra Brown,Statistics
62000398,Robert Rogers,Economics
62000399,Patricia Hill,Computer Science
62000400,Joseph Payne,Mathematics
62000401,Kristen Allen,Economics
62000402,Michael Melendez,Biology
62000403,Morgan Porter,Statistics
62000404,Mark Day,Law
62000405,Mitchell Fischer,Statistics
62000406,Brad Herring,Mathematics
62000407,Michael Harvey,Gender Studies
62000408,Mary Stafford,Law
62000409,Elizabeth Singh,Economics
62000410,Miranda Young,Biology
62000411,Connor Craig,Law
62000412,April Rocha,Statistics
62000413,Kyle Whitehead,Biology
62000414,Scott Jones,Computer Science
62000415,Patricia Gill,Mathematics
62000416,John Brown,Psychology
62000417,Michael Miller,Physics
62000418,Crystal Davis,Biology
62000419,Cody Hooper,Computer Science
62000420,Julie Morrison,Chemistry
62000421,Brianna Leonard,Psychology
62000422,Breanna Mata,Statistics
62000423,Jeffrey Terry,Gender Studies
62000424,Carlos Hines,Chemistry
62000425,Lisa Mckinney,Physics
62000426,Ryan Fuller,Gender Studies
62000427,Harold Cunningham,Law
62000428,Ashley Bennett,Physics
62000429,Randall Rangel,Mathematics
62000430,Destiny Simon,Computer Science
62000431,Sarah Peterson,Physics
62000432,David Zimmerman,Statistics
62000433,Vanessa Fernandez,Chemistry
62000434,Ashley Gardner,Economics
62000435,Alejandro Sanders,Gender Studies
62000436,David Williams,Economics
62000437,Renee Edwards,Physics
62000438,Sarah Fuller,Gender Studies
62000439,Steven Dominguez,Law
62000440,Douglas Robertson,Mathematics
62000441,Steve Tran,Law
62000442,Terri Wall,Law
62000443,Johnathan Montoya,Psychology
62000444,Luis Russo,Law
62000445,Crystal Foster,Gender Studies
62000446,Mary Mccoy,Law
62000447,Evan Wood,Chemistry
62000448,Christie Phillips,Statistics
62000449,Jamie Turner,Physics
62000450,George Carter,Biology
62000451,Cody Perry,Chemistry
62000452,Jamie Owens,Chemistry
62000453,Marc Campbell,Computer Science
62000454,Stephanie Floyd,Physics
62000455,Nicholas Brown,Computer Science
62000456,Monica Perry,Computer Science
62000457,Emily Watson,Psychology
62000458,Jacqueline Mccormick,Chemistry
62000459,Edward Ortega,Gender Studies
62000460,Aaron Fletcher,Statistics
62000461,Natalie Phillips,Chemistry
62000462,Joel Barr,Biology
62000463,Bianca Hernandez,Gender Studies
62000464,Amanda Gibson,Gender Studies
62000465,Monica George,Psychology
62000466,Ellen Barrett,Mathematics
62000467,Craig Barr,Statistics
62000468,Matthew Leon,Biology
62000469,Kevin Wagner,Statistics
62000470,Jacob Munoz,Statistics
62000471,Phillip Smith,Law
62000472,John Hamilton,Computer Science
62000473,Charles Clark,Psychology
62000474,Michael Lawson,Law
62000475,Eric Kennedy,Mathematics
62000476,Kyle Gomez,Economics
62000477,Jeffrey Garcia,Psychology
62000478,Scott Henry,Economics
62000479,Victor Whitney,Biology
62000480,Steven Jones,Mathematics
62000481,Derrick Matthews,Law
62000482,Debbie Padilla,Gender Studies
62000483,Ashley Gordon,Biology
62000484,Dylan Carter,Chemistry
62000485,Todd Stokes,Law
62000486,David Stein,Chemistry
62000487,Judy Ortega,Computer Science
62000488,Tony Carter,Gender Studies
62000489,Carmen Austin,Physics
62000490,Justin Garcia,Economics
62000491,Amber White,Chemistry
62000492,Timothy Harper,Economics
62000493,Crystal Smith,Biology
62000494,Justin Thomas,Psychology
62000495,Michael Yu,Physics
62000496,David Johnson,Mathematics
62000497,Nicholas Wade,Chemistry
62000498,Justin Horn,Economics
62000499,Alicia Harrington,Mathematics
62000500,Tanya Steele,Statistics
62000501,Ellen Miller,Psychology
62000502,Madison Morales,Computer Science
62000503,David Meyer,Psychology
62000504,Thomas Davis,Psychology
62000505,Christopher Kaufman,Gender Studies
62000506,Leslie Macias,Biology
62000507,Brooke Thomas,Chemistry
62000508,Dominique Cox,Mathematics
62000509,Sherry Bush,Mathematics
62000510,Elizabeth Ramirez,Statistics
62000511,Stacy Wilson,Psychology
62000512,Tiffany Archer,Physics
62000513,Jennifer Carpenter,Law
62000514,Jill Wells,Psychology
62000515,Shane King,Psychology
62000516,Michael Perez,Biology
62000517,Ian Williams,Psychology
62000518,Kelly Rodriguez,Psychology
62000519,James Thomas,Computer Science
62000520,Heather Chapman,Law
62000521,David Pierce,Physics
62000522,Matthew Ayala,Economics
62000523,Rebecca Williams,Chemistry
62000524,Daniel Valenzuela,Chemistry
62000525,Jeffrey Lara,Law
62000526,Jason Jackson,Statistics
62000527,Mallory Romero,Mathematics
62000528,Michael Reynolds,Computer Science
62000529,Kenneth Griffin,Psychology
62000530,Madison Taylor,Psychology
62000531,Adam Vargas,Psychology
62000532,Janet Fitzgerald,Psychology
62000533,Andre Farmer,Statistics
62000534,Melinda Cox,Law
62000535,Robert Clark,Chemistry
62000536,Christine Holloway,Computer Science
62000537,Heather Nichols,Chemistry
62000538,Miguel Vega,Physics
62000539,Kristi Vargas,Physics
62000540,Tiffany Sullivan,Chemistry
62000541,Ryan Burgess,Physics
62000542,Alan Jackson,Statistics
62000543,Alexander White,Psychology
62000544,Zoe Lang,Computer Science
62000545,Jennifer Hicks,Law
62000546,Andrea Fuller,Gender Studies
62000547,Laura Ryan,Computer Science
62000548,John Young,Statistics
62000549,Robert Gutierrez,Law
62000550,Brett Owens,Law
62000551,Matthew Miller,Chemistry
62000552,Erik Maddox,Psychology
62000553,Colton Johnson,Physics
62000554,Brian Torres,Computer Science
62000555,Erika Jones,Computer Science
62000556,Janice Moore,Law
62000557,Lisa Lynch,Physics
62000558,Tiffany Gardner,Law
62000559,Stacey Ellis,Chemistry
62000560,Elizabeth Miller,Psychology
62000561,Christopher Mccoy,Economics
62000562,Debra Lucero,Mathematics
62000563,Kimberly Burnett,Chemistry
62000564,Steven Acevedo,Economics
62000565,Michael Romero,Computer Science
62000566,Angela Fowler,Law
62000567,Renee Eaton,Mathematics
62000568,Heather Robertson,Computer Science
62000569,Eric Wilson,Law
62000570,Theresa Pham,Law
62000571,Michael Lang,Mathematics
62000572,Donna Sheppard,Economics
62000573,Susan Murillo,Law
62000574,Kenneth Rivera,Computer Science
62000575,Victor Wilson,Mathematics
62000576,Dwayne Wood,Biology
62000577,Darlene Williams,Psychology
62000578,James Lewis,Statistics
62000579,Dustin Jimenez,Economics
62000580,Kimberly Wright,Economics
62000581,Victoria Black,Biology
62000582,Emily Johnson,Gender Studies
62000583,Dylan Ford,Gender Studies
62000584,Annette Gonzales,Law
62000585,Jessica Webster,Law
62000586,Anthony Steele,Computer Science
62000587,Penny Galvan,Biology
62000588,Ashley Davenport,Chemistry
62000589,Kevin Shelton,Economics
62000590,Christopher Smith,Statistics
62000591,Darrell Todd,Law
62000592,Heather Johnson,Psychology
62000593,Donna Kelly,Economics
62000594,Brandon Griffin,Psychology
62000595,Jessica Brown,Statistics
62000596,Gary Nelson,Physics
62000597,Sally Riley,Gender Studies
62000598,Alexis Caldwell,Psychology
62000599,Melissa Lopez,Physics
62000600,David Thomas,Mathematics
62000601,Joseph Collins,Computer Science
62000602,Brenda Sanders,Gender Studies
62000603,Cynthia Lee,Mathematics
62000604,Alejandro Jones,Chemistry
62000605,Cynthia Martin,Statistics
62000606,Glenn Baker,Economics
62000607,Juan Hampton,Psychology
62000608,Janice Smith,Psychology
62000609,Tyler Campbell,Gender Studies
62000610,Marie Jackson,Gender Studies
62000611,Jonathan Sharp,Economics
62000612,Robert Villa,Chemistry
62000613,Megan White,Gender Studies
62000614,Daniel Eaton,Computer Science
62000615,Heather Harris,Biology
62000616,Julia Aguirre,Psychology
62000617,Tony Rogers,Mathematics
62000618,Michael Davis,Statistics
62000619,Kelly Pope,Physics
62000620,Michelle Doyle,Economics
62000621,Katherine Davila,Biology
62000622,Lawrence Pitts,Law
62000623,Elizabeth Henderson,Chemistry
62000624,James Robinson,Mathematics
62000625,Lisa Taylor,Psychology
62000626,Mark Kim,Computer Science
62000627,Oscar Nelson,Economics
62000628,Jennifer Johnson,Law
62000629,Stephen Wood,Psychology
62000630,Rebecca Nguyen,Psychology
62000631,Jesse Taylor,Statistics
62000632,Jonathan Brown,Physics
62000633,Anna Jackson,Economics
62000634,Jorge Ross,Chemistry
62000635,Mackenzie Dunn,Economics
62000636,Dawn Evans,Chemistry
62000637,Suzanne Johnston,Economics
62000638,Nicole Gonzalez,Computer Science
62000639,Jeremy George,Statistics
62000640,Christopher Decker,Chemistry
62000641,Albert Ortiz,Psychology
62000642,Lauren King,Psychology
62000643,Lisa Mendoza,Mathematics
62000644,Kristina Booth,Chemistry
62000645,Samuel Dunn,Economics
62000646,Heidi Turner,Physics
62000647,Nathan Tucker,Computer Science
62000648,Katherine Day,Chemistry
62000649,Catherine Stevenson,Chemistry
62000650,Ashley Berger,Mathematics
62000651,Thomas Perry,Gender Studies
62000652,Ryan Watkins,Gender Studies
62000653,Tammy Henry,Physics
62000654,Aaron Jordan,Mathematics
62000655,Anne Nelson,Computer Science
62000656,Darren Peterson,Gender Studies
62000657,Aaron Schwartz,Law
62000658,Tracey Smith,Chemistry
62000659,Jill Hendrix,Mathematics
62000660,Michael Taylor,Mathematics
62000661,Matthew Davis,Law
62000662,Thomas Gutierrez,Physics
62000663,David Mata,Law
62000664,Karen Cole,Law
62000665,Jennifer Davies,Computer Science
62000666,Chad Walters,Physics
62000667,Derek Ray,Chemistry
62000668,Cathy Schaefer,Economics
62000669,Kaitlin Jones,Physics
62000670,Karen Morris,Economics
62000671,Dennis Ferguson,Gender Studies
62000672,Beth Carr,Chemistry
62000673,James Stephenson,Law
62000674,Jennifer Stephens,Physics
62000675,Holly Schultz,Economics
62000676,Mary Stewart,Psychology
62000677,April Nelson,Biology
62000678,Joshua Ramirez,Mathematics
62000679,Jack Parker,Mathematics
62000680,Steven Knox,Statistics
62000681,George Reid,Law
62000682,Alicia Miller,Biology
62000683,Heather Phillips,Gender Studies
62000684,Peggy Graham,Mathematics
62000685,Scott Mcclure,Psychology
62000686,Joseph Anderson,Biology
62000687,Kimberly Ellis,Psychology
62000688,John Taylor,Biology
62000689,Shannon Jarvis,Computer Science
62000690,Elizabeth Cook,Chemistry
62000691,Christopher Murray,Biology
62000692,Caitlin Morales,Mathematics
62000693,Travis Reed,Psychology
62000694,Micheal Holmes,Physics
62000695,Marc Roberts,Computer Science
62000696,Matthew Donovan,Statistics
62000697,Karen Thomas,Gender Studies
62000698,Abigail Nguyen,Economics
62000699,Mary Moreno,Statistics
62000700,Amanda Bailey,Psychology
62000701,Charles Smith,Chemistry
62000702,Tonya Walter,Gender Studies
62000703,Courtney Wells,Mathematics
62000704,Timothy Gamble,Statistics
62000705,Robert Roach,Biology
62000706,Robert Smith,Biology
62000707,Shannon Cunningham,Economics
62000708,Wendy Peters,Economics
62000709,Kendra Mora,Computer Science
62000710,Marcus Small,Statistics
62000711,Peter Shaw,Biology
62000712,Brittany Robertson,Statistics
62000713,Patrick Kidd,Physics
62000714,Jacqueline Ramsey,Statistics
62000715,Sabrina Graham,Mathematics
62000716,Robin Parker,Mathematics
62000717,Brandon Larsen,Law
62000718,Anna Hobbs,Biology
62000719,Vincent Gonzalez,Statistics
62000720,Gregory Travis,Gender Studies
62000721,John Ortega,Biology
62000722,Darlene Ferguson,Mathematics
62000723,Jerome Chambers,Gender Studies
62000724,Paul Norman,Psychology
62000725,Joshua Peters,Gender Studies
62000726,Stephanie Evans,Gender Studies
62000727,Theodore Thomas,Biology
62000728,Ana Washington,Chemistry
62000729,Jessica Tran,Chemistry
62000730,Steven Vazquez,Biology
62000731,Madison King,Law
62000732,Wendy Perez,Gender Studies
62000733,Jeremy Ayala,Biology
62000734,Heather Rogers,Psychology
62000735,Shawn Austin,Computer Science
62000736,Michael Williams,Economics
62000737,Rachel Smith,Economics
62000738,Andrew Barton,Psychology
62000739,Christina Morales,Economics
62000740,Sarah Reyes,Gender Studies
62000741,John Washington,Physics
62000742,Jonathan Thompson,Computer Science
62000743,Bradley Henry,Computer Science
62000744,Kathryn Edwards,Law
62000745,Emily Davis,Law
62000746,Karen Rodriguez,Gender Studies
62000747,Travis Roberson,Statistics
62000748,Lisa Hayes,Biology
62000749,Kimberly Davis,Psychology
62000750,Kristin Garcia,Chemistry
62000751,Heather Moore,Biology
62000752,Rebecca Mcmillan,Gender Studies
62000753,Jocelyn Turner,Gender Studies
62000754,Lisa Villegas,Computer Science
62000755,Timothy Miles,Computer Science
62000756,Nicholas Williams,Physics
62000757,Craig Hall,Law
62000758,Brian Morgan,Mathematics
62000759,Diane Henderson,Statistics
62000760,Joseph Goodman,Psychology
62000761,Amy Collins,Psychology
62000762,Christina Freeman,Mathematics
62000763,Mary Tyler,Statistics
62000764,Thomas Baker,Biology
62000765,Wesley Barrett,Mathematics
62000766,Jeffrey Bernard,Computer Science
62000767,Rebecca Coleman,Law
62000768,Christian Stein,Chemistry
62000769,Sabrina Mccarthy,Psychology
62000770,Alan Graves,Economics
62000771,Alice Woods,Economics
62000772,Heidi Smith,Biology
62000773,Jeffrey Ball,Psychology
62000774,Kyle Thomas,Economics
62000775,Deborah Ross,Mathematics
62000776,Ann Casey,Computer Science
62000777,Amber Wood,Mathematics
62000778,Angela Brown,Mathematics
62000779,Drew Adams,Mathematics
62000780,Christian Young,Biology
62000781,Michael Chavez,Computer Science
62000782,Natasha Castillo,Physics
62000783,Danielle Richards,Physics
62000784,Jasmine Chavez,Psychology
62000785,Regina Hernandez,Psychology
62000786,William Webb,Computer Science
62000787,Jeremy Bush,Chemistry
62000788,Caleb Ruiz,Computer Science
62000789,Jeffrey Turner,Psychology
62000790,Tiffany Powers,Law
62000791,Anna Cuevas,Statistics
62000792,Michele Hopkins,Physics
62000793,Amy Roberson,Physics
62000794,Heather Watson,Gender Studies
62000795,Tracy Luna,Chemistry
62000796,Micheal Wright,Psychology
62000797,Katie Brown,Biology
62000798,Samantha Harris,Gender Studies
62000799,Jose Daniels,Biology
62000800,Samuel Cruz,Law
62000801,Courtney Hernandez,Chemistry
62000802,Kristina Brennan,Statistics
62000803,Michelle Le,Chemistry
62000804,Dean Tran,Physics
62000805,Victoria Horton,Computer Science
62000806,Robert Hunt,Gender Studies
62000807,Alexander Gonzalez,Mathematics
62000808,Leslie Allison,Economics
62000809,Maria Richardson,Law
62000810,Melinda Cooper,Economics
62000811,Stephanie King,Computer Science
